legalWords,definitions
2007 Act:,"On this website, it refers to the Legal Profession and Legal Aid (Scotland) Act 2007"
Ab extra:,"Literally ""from outside""."
Ab initio:,"The Latin term ""Ab initio "" means, in a UK legal context: ""from the beginning""."
Absolvitor:,The judgement pronounced when a court assoilzies a party.
Accountant in Bankruptcy:,The administrative supervisor of sequestrations and personal insolvency.
Accountant of Court:,An officer of court who supervises the conduct of judicial factors.
Accused:,A person charged with committing a crime or offence.
Act and warrant:,The interlocutor in sequestration proceedings which confirms the appointment of the trustee
Action:,Proceedings instituted by a person in a civil court.
Acts of Adjournal:,Regulations as to court procedure made by the High Court of Justiciary in criminal law.
Ad factum praestandum:,For the performance of a certain act.
Ad fundandam :,For the purpose of founding jurisdiction jurisdictionem
Ad hoc:,Referring only to a particular case or to a specified set of circumstances.
Ad infinitum:,Without limit.
Ad interim:,In the meantime.
Adjudication:,"An action used to take possession of heritable property, i.e. where a seller of land refuses to give a conveyance to the buyer, or as a means of taking a debtorÕs land to satisfy his creditorÕs claim for debt."
Adjust:,To alter the written basis of an action or its defence in its early stages.
Ad longum:,At length.
Ad litem:,For the purposes of this action only.
Administration Order:,A court order appointing an administrator for a company in financial difficulties but not hopelessly insolvent.
Adoption:,The statutory process whereby the parental rights and duties of natural parents are extinguished and vested in adopters.
Ad valorem:,According to value.
Ad vitam aut culpam:,For life or till fault.
Advocate:,A member of the Scottish Bar.
Advocate Depute:,"An advocate appointed by the Lord Advocate to prosecute under his/her directions, and paid by salary."
Advocate General:,A UK Government Minister and the UK GovernmentÕs chief legal adviser on Scots law.
"Advocate, Lord:","The senior Scottish Law Officer responsible for the prosecution of crime and investigation of deaths in Scotland, and the principal legal adviser to the Scottish Government."
Affidavit:,A signed statement made on oath. Some cases which come before the Court can be dealt with by affidavit evidence. This is basically a sworn statement which the Court has regard to and means witnesses donÕt have to turn up. It saves a good deal of time but can only be used in certain types of case (where there is no real dispute) as a written statement cannot be crossexamined.
Aliment:,Support or maintenance of a spouse or child enforceable by law.
Allocated to a Roll:,Assigned to a particular court and Judge / Sheriff.
Animus:,Will or intention.
Appearance:,The formal act whereby the defender in an action intimates his intention to defend.
Arrestment:,Legal attachment of money or moveable property in the hands of a third party.
Articles of Roup:,Conditions of sale by auction.
Assignation:,The transfer of a right from one party to another.
Assize:,In Scotland this word is occasionally and formally used to mean a jury.
Assoilize:,Criminal-to acquit or find not guilty. Civil-to find for the defender/respondent.
Auditor of Court:,A person responsible for examining legal accounts. The Auditors of the Court of Session and Sheriff Courts respectively examine and are said to ÒtaxÓ accounts of expenses incurred by parties in civil actions in the respective courts.
Aver:,To state or allege.
Avizandum:,Judgement deferred (verbal or written decision to be given later).
Bail:,(i) In Admiralty proceedings the security given to obtain the release of a ship. (ii) In criminal proceedings an arrangement for the conditional release of an accused person pending trial or sentence subject to penalties.
Bond and Disposition in Mortgage :,Mortgage secured over heritable property.
Bond of Caution:,"Where the Court appoints someone to act on behalf of another (judicial factors etc.) it may require that they find caution in a specified amount. This may be done by depositing cash, or by arranging a bond with an insurance company. It ensures that compensation is available in the event that the judicial factor etc acts improperly. Note Ô CautionÕ is pronounced to rhyme with station."
Books of Adjournal:,The books or records of the Justiciary Office.
Books of Council and Session:,"A popular title for the Registers of Deeds and Probative Writs in which, according to the directions they contain, deeds, etc., may be registered for preservation or preservation and execution."
Books of Sederunt:,Records of the Acts of Sederunt in the Court of Session
Brevitatis causa:,For the sake of brevity.
Corpus:,"The Latin term ""Corpus"" means, in a UK legal context: ""body""."
Commission:,"On this website, the term Commission means the Scottish Legal Complaints Commission"
Caution:,Security (pronounced ÔKayshunÕ)
Caveat:,ÒWarningÓ. A legal document lodged in court by a party so that no order or ruling affecting him or her passes in his or her absence or without receiving prior notice.
Circuit Court:,The court held by the judges of the High Court of Justiciary when they sit outside Edinburgh.
Cite / Citation:,"(i) To summon to court a party, witness or juror. (ii) To refer in argument to some authority such as a statute or decided case."
Cognitionis causa tantum:,An action raised by creditor of a deceased debtor for purpose of constituting his or her debt against the estate.
College of Justice:,"A formal name of the Court of Session. The College of Justice includes advocates, solicitors, court staff and others, as well as the judges."
Commissary:,Relating to establishing the succession rights and disposal of a deceased persons estate.
Commissary Court:,The Court which grants a title to Executors or Administrators.
Complaint:,A document instituting summary (minor) criminal proceedings in a sheriff or district court setting out the offence charged.
Compearance:,The appearance of a Defender.
Conclusion:,The conclusion in a Court of Session summons is the statement of the precise order sought. To conclude for is to claim in this fashion.
Condescendence:,A written statement in an action setting out the grounds of action of the Pursuer.
Confirmation nominate:,The title of the Executor of a deceasedÕs estate where there the deceased has left a will.
Confirmation dative:,The title of the Executor of a deceasedÕs estate where there the deceased has not left a will.
Consignation:,The deposit in court or with a third party under court authority of money or an article in dispute.
Consistorial:,"Relating to family matters, including actions between husband and wife / civil partners, or parent and child which involve status."
Counsel:,In Scotland a member of the Faculty of Advocates practising at the Bar.
Courtesy:,The estate which the husband has for life in the real estate left by his wife.
Creditor:,A person to whom another person (or debtor) is obliged in some monetary or other obligation.
Curator:,"A person either entitled by law or appointed by the court or an individual to administer the estate of another, as of a young or insane person. Commonly mispronounced curator."
Criminal Appeals / Justiciary appeals :,Criminal appeals result from summary (less serious) work. Justiciary appeals result from solemn work.
Curator ad litem:,A person appointed by the court to look after the interests of a party to proceedings who is under legal disability but has no guardian.
Curator bonis:,"The person appointed by the court to manage the estate of a young person in place of his legal guardian or to manage the estate of an adult suffering from mental or, less commonly, bodily infirmity."
Curatory/Judicial Factor Accounts:,"Where people are too young, or infirm, to look after their own (financial) affairs they have someone appointed to do so (a curator or judicial factor). These appointments are made by the Court and those appointed have to account for their intermission on the estate of the ÔincapaxÕ."
Custody Order:,now known as a ÒResidence OrderÓ.
Cy Pres:,Approximation? as near as possible.
Debate:,"Intermediate step in procedure when legal points are considered, and which can result in the conclusion of a civil case prior to evidence being led."
Debtor:,A person obliged to pay some monetary or other obligation to another (the creditor).
Decern:,A formal verb meaning to give final decree or judgement.
Decree:,"The common term for a final judgement. (The word as is accented on the first syllable). Thus decree arbitral, the decision of an arbiter? decree conform, a decree given by the Court of Session in aid of a lower court to enable diligence to be done."
Decrees in Absence:,Applications to the court dealt with by the Sheriff in his chambers in the ÒabsenceÓ of opposition thereto.
De facto:,According to the fact? in point of fact.
Defences:,"The statement by way of defence lodged by the defender, being the party against whom a civil action is brought. The plural signifies, presumably, that the defender may rely on more legal answers than one."
Defender:,A person who disputes the claim of the pursuer and lodges defences.
De fideli administratione:,Of faithful administration (This phrase is used to describe an oath perhaps to a translator for a witness).
De jure:,"According to law, or in point of law."
De novo:,Of new.
De plano:,"Immediately, summarily, without attention to forms."
Diet:,The date fixed by the court for hearing a case for any one of a variety of purposes.
Diligence:,Procedure for enforcing decree against debtors? Process for procuring the recovery of writings from an opponent or third party? or Process for obtaining the evidence of witnesses before a commissioner.
Discharge:,Release.
Dispone:,"To grant transfer, applied usually to heritage."
