web-scraper-order,legalWords,definitions
1677951388-1,2007 Act:,"On this website, it refers to the Legal Profession and Legal Aid (Scotland) Act 2007"
1677951388-2,Ab extra:,"Literally ""from outside""."
1677951388-3,Ab initio:,"The Latin term ""Ab initio "" means, in a UK legal context: ""from the beginning""."
1677951388-4,Absolvitor:,The judgement pronounced when a court assoilzies a party.
1677951388-5,Accountant in Bankruptcy:,The administrative supervisor of sequestrations and personal insolvency.
1677951388-6,Accountant of Court:,An officer of court who supervises the conduct of judicial factors.
1677951388-7,Accused:,A person charged with committing a crime or offence.
1677951388-8,Act and warrant:,The interlocutor in sequestration proceedings which confirms the appointment of the trustee
1677951388-9,Action:,Proceedings instituted by a person in a civil court.
1677951388-10,Acts of Adjournal:,Regulations as to court procedure made by the High Court of Justiciary in criminal law.
1677951388-11,Ad factum praestandum:,For the performance of a certain act.
1677951388-12,Ad fundandam :,For the purpose of founding jurisdiction jurisdictionem
1677951388-13,Ad hoc:,Referring only to a particular case or to a specified set of circumstances.
1677951388-14,Ad infinitum:,Without limit.
1677951388-15,Ad interim:,In the meantime.
1677951388-16,Adjudication:,"An action used to take possession of heritable property, i.e. where a seller of land refuses to give a conveyance to the buyer, or as a means of taking a debtor’s land to satisfy his creditor’s claim for debt."
1677951388-17,Adjust:,To alter the written basis of an action or its defence in its early stages.
1677951388-18,Ad longum:,At length.
1677951388-19,Ad litem:,For the purposes of this action only.
1677951388-20,Administration Order:,A court order appointing an administrator for a company in financial difficulties but not hopelessly insolvent.
1677951388-21,Adoption:,The statutory process whereby the parental rights and duties of natural parents are extinguished and vested in adopters.
1677951388-22,Ad valorem:,According to value.
1677951388-23,Ad vitam aut culpam:,For life or till fault.
1677951388-24,Advocate:,A member of the Scottish Bar.
1677951388-25,Advocate Depute:,"An advocate appointed by the Lord Advocate to prosecute under his/her directions, and paid by salary."
1677951388-26,Advocate General:,A UK Government Minister and the UK Government’s chief legal adviser on Scots law.
1677951388-27,"Advocate, Lord:","The senior Scottish Law Officer responsible for the prosecution of crime and investigation of deaths in Scotland, and the principal legal adviser to the Scottish Government."
